nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN,kecamatan_terdekat,kota,provinsi,negara
rumah baru patra kuningan,8,8,4617,300000000000,150000000,"patra, gatot subroto, kuningan, jakarta, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-patra-kuningan-oleh-agus-faisal-18938015,20 M - Max,30 Juta- Max,-6.234259999999948,106.83154000000007,0,0.024781279025589242,0.016152205284447163,0.028607691799771295,0.05882002427344357,0.06670414923120749,0.09661760438103872,0.04056847012265852,0.03317188675636107,0.10901055103016066,0.08900099894299984,SETIA BUDI,Jakarta Selatan,DKI Jakarta,Indonesia
Hunian mewah 3 lantai di lengkapi Rooftop lokasi strategis di jakarta selatan,4,4,95,173000000000,2790322581,"jagakarsa, jakarta timur, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-3-lantai-di-lengkapi-rooftop-lokasi-strategis-di-jakarta-selatan-oleh-elsa-18930090,20 M - Max,30 Juta- Max,-6.334499999999935,106.81966000000006,1,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
"5 Bedrooms Rumah Kebayoran Baru, Jakarta Selatan, DKI Jakarta",5,5,914,170000000000,175983437,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-kebayoran-baru-jakarta-selatan-dki-jakarta-oleh-sarman-17985928,20 M - Max,30 Juta- Max,-6.2514699999999275,106.79754000000008,2,0.07599127902556012,0.06427097232910484,0.024290293467081447,0.07111400417488499,0.0194307320318865,0.045407604381067834,0.010641529877312372,0.04996188675637382,0.10740393866964038,0.03993754727300747,KEBAYORAN BARU,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Dijual Pondok Indah,5,5,1619,110000000000,68750000,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18612678,20 M - Max,30 Juta- Max,-6.2685699999999525,106.78056000000004,3,0.1100712790256324,0.09835097232917712,0.056682308200271876,0.07099400417490552,0.01955073203186597,0.03687349659793515,0.04472152987738465,0.07630334168401287,0.1072839386696609,0.04005754727298694,KEBAYORAN LAMA,Jakarta Selatan,DKI Jakarta,Indonesia
Dijual rumah pangeran antasari mewah & Elite,6,5,936,102000000000,39968652,"jl pangeran antasari, Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-pangeran-antasari-mewah-elite-oleh-suwandi-17597269,20 M - Max,30 Juta- Max,-6.261929329446686,106.8126704313298,4,0.07132017714259575,0.059599870446140464,0.017931206317235215,0.04552424339840312,0.0450204928083684,0.05007870626403221,0.02842793521499853,0.03755223980097622,0.08181417789315848,0.06552730804948936,MAMPANG PRAPATAN,Jakarta Selatan,DKI Jakarta,Indonesia
Dijual Rumah di Kebayoran Baru Dekat SCBD,5,5,1100,87000000000,96666667,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-kebayoran-baru-dekat-scbd-oleh-clement-francis-18944487,20 M - Max,30 Juta- Max,-6.2514699999999275,106.79754000000008,5,0.07599127902556012,0.06427097232910484,0.024290293467081447,0.07111400417488499,0.0194307320318865,0.045407604381067834,0.010641529877312372,0.04996188675637382,0.10740393866964038,0.03993754727300747,KEBAYORAN BARU,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Mewah Modern Classic With lift and Private Pool di Pondok Indah,10,10,1670,87000000000,73728814,"Jalan Raya Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-classic-with-lift-and-private-pool-di-pondok-indah-oleh-yoni-topan-18520184,20 M - Max,30 Juta- Max,-6.308338262432955,106.79409156355305,6,0.13630797790561822,0.12458767120916292,0.08291900708025768,0.0527066746065854,0.0728505580178842,0.016426329388083083,0.07095822875737046,0.10254004056399868,0.05398411268364267,0.09335737325900516,CILANDAK,Jakarta Selatan,DKI Jakarta,Indonesia
Dijual cepat rumah mewah permata hijau strategis bebas banjir 1650 meter bagus,5,7,1000,84999000000,51514545,"Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-permata-hijau-strategis-bebas-banjir-1650-meter-bagus-oleh-kevin-tanuwidjaya-17762808,20 M - Max,30 Juta- Max,-6.2224539000587145,106.78586281229073,7,0.07142981157985595,0.04693206009724449,0.06498358111764713,0.11180729182545067,0.032833061463096946,0.0776867842484803,0.03785511321204904,0.09065517440693947,0.14809722632020605,0.0551299111748893,KEBAYORAN LAMA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Hoek Jl Patiunus,3,7,600,83000000000,69166667,"Jl. Patiunus, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-hoek-jl-patiunus-oleh-octavia-sylvie-18577620,20 M - Max,30 Juta- Max,-6.233735307945522,106.79610946276787,8,0.05968712420336431,0.04796681750690901,0.04345552275369702,0.09027923346150056,0.031798304053432425,0.06171175920326366,0.016327054848098932,0.06912711604298938,0.12656916795625595,0.05409515376522478,KEBAYORAN BARU,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Dijual Pondok Indah,3,5,1487,78000000000,78000000,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18364454,20 M - Max,30 Juta- Max,-6.2685699999999525,106.78056000000004,9,0.1100712790256324,0.09835097232917712,0.056682308200271876,0.07099400417490552,0.01955073203186597,0.03687349659793515,0.04472152987738465,0.07630334168401287,0.1072839386696609,0.04005754727298694,KEBAYORAN LAMA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah dan Ruko Area Komersil di Kemang Jakarta Selatan Lokasi Strategis,10,10,1750,78000000000,30805687,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dan-ruko-area-komersil-di-kemang-jakarta-selatan-lokasi-strategis-oleh-dhenis-emanuel-18657870,20 M - Max,30 Juta- Max,-6.255639999999971,106.81218000000008,10,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560368,0.03175334168398436,0.08859393866959664,0.0587475472730512,MAMPANG PRAPATAN,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Bagus di Patra Kuningan Jakarta Selatan,6,8,700,75000000000,75757576,"Patra Kuningan Jakarta Selatan, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-di-patra-kuningan-jakarta-selatan-oleh-christin-sitompul-18879765,20 M - Max,30 Juta- Max,-6.2352633659723455,106.83321427450386,11,0.02411037049420184,0.01882984576062885,0.0292786003311587,0.059490932804830976,0.06737505776259489,0.09728851291242613,0.04123937865404592,0.030494246280179382,0.10968145956154808,0.08967190747438725,SETIA BUDI,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Cantik Wijaya Kebayoran Baru LT700 jakarta selatan,6,8,1500,75000000000,107142857,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-wijaya-kebayoran-baru-lt700-jakarta-selatan-oleh-yohanes-18616190,20 M - Max,30 Juta- Max,-6.2514699999999275,106.79754000000008,12,0.07599127902556012,0.06427097232910484,0.024290293467081447,0.07111400417488499,0.0194307320318865,0.045407604381067834,0.010641529877312372,0.04996188675637382,0.10740393866964038,0.03993754727300747,KEBAYORAN BARU,Jakarta Selatan,DKI Jakarta,Indonesia
