nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
rumah baru patra kuningan,8,8,4617,300000000000,150000000,"patra, gatot subroto, kuningan, jakarta, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-patra-kuningan-oleh-agus-faisal-18938015
Hunian mewah 3 lantai di lengkapi Rooftop lokasi strategis di jakarta selatan,4,4,95,173000000000,2790322581,"jagakarsa, jakarta timur, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-3-lantai-di-lengkapi-rooftop-lokasi-strategis-di-jakarta-selatan-oleh-elsa-18930090
"5 Bedrooms Rumah Kebayoran Baru, Jakarta Selatan, DKI Jakarta",5,5,914,170000000000,175983437,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-5-bedrooms-rumah-kebayoran-baru-jakarta-selatan-dki-jakarta-oleh-sarman-17985928
Rumah Dijual Pondok Indah,5,5,1619,110000000000,68750000,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18612678
Dijual rumah pangeran antasari mewah & Elite,6,5,936,102000000000,39968652,"jl pangeran antasari, Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-pangeran-antasari-mewah-elite-oleh-suwandi-17597269
Dijual Rumah di Kebayoran Baru Dekat SCBD,5,5,1100,87000000000,96666667,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-kebayoran-baru-dekat-scbd-oleh-clement-francis-18944487
Rumah Mewah Modern Classic With lift and Private Pool di Pondok Indah,10,10,1670,87000000000,73728814,"Jalan Raya Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-classic-with-lift-and-private-pool-di-pondok-indah-oleh-yoni-topan-18520184
Dijual cepat rumah mewah permata hijau strategis bebas banjir 1650 meter bagus,5,7,1000,84999000000,51514545,"Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-permata-hijau-strategis-bebas-banjir-1650-meter-bagus-oleh-kevin-tanuwidjaya-17762808
Rumah Hoek Jl Patiunus,3,7,600,83000000000,69166667,"Jl. Patiunus, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-hoek-jl-patiunus-oleh-octavia-sylvie-18577620
Rumah Dijual Pondok Indah,3,5,1487,78000000000,78000000,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pondok-indah-oleh-andien-rr-18364454
